<<<<<<< HEAD
DESKTOP-FET5BBI | 2019-06-05 06:44:24 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:44:41 | es.EurekaServiceApplication | Started EurekaServiceApplication in 20.798 seconds (JVM running for 21.999)
DESKTOP-FET5BBI | 2019-06-05 06:49:29 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:49:42 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.828 seconds (JVM running for 18.831)
DESKTOP-FET5BBI | 2019-06-05 06:50:42 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:51:00 | es.EurekaServiceApplication | Started EurekaServiceApplication in 22.21 seconds (JVM running for 23.658)
DESKTOP-FET5BBI | 2019-06-05 07:01:49 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:02:07 | es.EurekaServiceApplication | Started EurekaServiceApplication in 22.057 seconds (JVM running for 23.373)
DESKTOP-FET5BBI | 2019-06-05 07:07:56 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:08:10 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.935 seconds (JVM running for 18.857)
DESKTOP-FET5BBI | 2019-06-05 07:09:30 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:09:43 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.508 seconds (JVM running for 18.629)
DESKTOP-FET5BBI | 2019-06-05 07:26:50 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:27:02 | es.EurekaServiceApplication | Started EurekaServiceApplication in 16.628 seconds (JVM running for 17.668)
DESKTOP-FET5BBI | 2019-06-05 07:34:25 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:34:37 | es.EurekaServiceApplication | Started EurekaServiceApplication in 16.221 seconds (JVM running for 17.215)
DESKTOP-FET5BBI | 2019-06-05 07:36:41 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:36:54 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.907 seconds (JVM running for 18.839)
DESKTOP-FET5BBI | 2019-06-05 07:40:48 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:43:14 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:43:55 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:44:08 | es.EurekaServiceApplication | Started EurekaServiceApplication in 16.985 seconds (JVM running for 17.942)
DESKTOP-FET5BBI | 2019-06-05 07:47:07 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:47:20 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.172 seconds (JVM running for 18.226)
DESKTOP-FET5BBI | 2019-06-05 07:49:29 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:49:38 | es.EurekaServiceApplication | Started EurekaServiceApplication in 14.163 seconds (JVM running for 15.169)
DESKTOP-FET5BBI | 2019-06-05 07:52:26 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:52:36 | es.EurekaServiceApplication | Started EurekaServiceApplication in 13.971 seconds (JVM running for 15.024)
DESKTOP-FET5BBI | 2019-06-05 07:53:49 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:53:59 | es.EurekaServiceApplication | Started EurekaServiceApplication in 14.473 seconds (JVM running for 15.55)
DESKTOP-FET5BBI | 2019-06-05 07:55:55 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:56:05 | es.EurekaServiceApplication | Started EurekaServiceApplication in 14.76 seconds (JVM running for 15.694)
=======
MKIT_LENOVO40 | 2019-06-06 01:19:26 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
MKIT_LENOVO40 | 2019-06-06 01:19:38 | es.EurekaServiceApplication | Started EurekaServiceApplication in 14.687 seconds (JVM running for 16.026)
MKIT_LENOVO40 | 2019-06-06 01:22:20 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
MKIT_LENOVO40 | 2019-06-06 01:22:31 | es.EurekaServiceApplication | Started EurekaServiceApplication in 13.388 seconds (JVM running for 14.456)
MKIT_LENOVO40 | 2019-06-06 01:32:33 | es.EurekaServiceApplicationTests | No active profile set, falling back to default profiles: default
MKIT_LENOVO40 | 2019-06-06 01:32:46 | es.EurekaServiceApplicationTests | Started EurekaServiceApplicationTests in 15.782 seconds (JVM running for 17.392)
>>>>>>> 61797cc7d278ec5c13f269d0d1a69ab78ce47138
