<<<<<<< HEAD
<<<<<<< HEAD
DESKTOP-FET5BBI | 2019-06-05 06:44:24 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:44:41 | es.EurekaServiceApplication | Started EurekaServiceApplication in 20.798 seconds (JVM running for 21.999)
DESKTOP-FET5BBI | 2019-06-05 06:49:29 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:49:42 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.828 seconds (JVM running for 18.831)
DESKTOP-FET5BBI | 2019-06-05 06:50:42 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 06:51:00 | es.EurekaServiceApplication | Started EurekaServiceApplication in 22.21 seconds (JVM running for 23.658)
DESKTOP-FET5BBI | 2019-06-05 07:01:49 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:02:07 | es.EurekaServiceApplication | Started EurekaServiceApplication in 22.057 seconds (JVM running for 23.373)
DESKTOP-FET5BBI | 2019-06-05 07:07:56 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:08:10 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.935 seconds (JVM running for 18.857)
DESKTOP-FET5BBI | 2019-06-05 07:09:30 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:09:43 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.508 seconds (JVM running for 18.629)
DESKTOP-FET5BBI | 2019-06-05 07:26:50 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:27:02 | es.EurekaServiceApplication | Started EurekaServiceApplication in 16.628 seconds (JVM running for 17.668)
DESKTOP-FET5BBI | 2019-06-05 07:34:25 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:34:37 | es.EurekaServiceApplication | Started EurekaServiceApplication in 16.221 seconds (JVM running for 17.215)
DESKTOP-FET5BBI | 2019-06-05 07:36:41 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
DESKTOP-FET5BBI | 2019-06-05 07:36:54 | es.EurekaServiceApplication | Started EurekaServiceApplication in 17.907 seconds (JVM running for 18.839)
DESKTOP-FET5BBI | 2019-06-05 07:40:48 | es.EurekaServiceApplication | No active profile set, falling back to default profiles: default
